UR	SR	humanSubj Freq	"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__	Observed Probability p(SR|UR)	t=1.5 Predicted Probability	t=1.5 Error	t=1 Predicted Probability	t=1 Error
Vávell	Vávellnak	0	0	1	1	1	0	0	1	0	1	0	0	0.084710566	0.084710566	0.027384811	0.027384811
Vávell	Vávellnek	1	1	0	0	0	0	0	0	0	0	0	1	0.915289434	-0.084710566	0.972615189	-0.027384811
számázmé	számázménak	0	0	1	1	0	0	0	0	0	0	0	0	0.816578061	0.816578061	0.903784458	0.903784458
számázmé	számázmének	1	1	0	0	0	0	0	0	0	0	0	1	0.183421939	-0.816578061	0.096215542	-0.903784458
Kázmink	Kázminknak	0	0	1	0	0	0	0	0	0	1	0	0	0.788070409	0.788070409	0.877611113	0.877611113
Kázmink	Kázminknek	1	1	0	0	0	0	0	0	0	0	0	1	0.211929591	-0.788070409	0.122388887	-0.877611113
Rábim	Rábimnak	0	0	1	0	0	0	1	0	0	0	0	0	0.697059284	0.697059284	0.777299861	0.777299861
Rábim	Rábimnek	1	1	0	0	0	0	0	0	0	0	0	1	0.302940716	-0.697059284	0.222700139	-0.777299861
Berszt	Bersztnak	0	0	1	1	1	0	0	0	0	1	0	0	0.005202845	0.005202845	0.00037809	0.00037809
Berszt	Bersztnek	1	0	0	0	0	0	0	0	0	0	0	1	0.994797155	-0.005202845	0.99962191	-0.00037809
Enc	Encnak	0	0	1	1	1	0	0	0	1	1	0	0	0.002843137	0.002843137	0.000152225	0.000152225
Enc	Encnek	1	0	0	0	0	0	0	0	0	0	0	1	0.997156863	-0.002843137	0.999847775	-0.000152225
fagyádebb	fagyádebbnak	0	0	1	1	1	0	1	0	0	1	0	0	0.035800605	0.035800605	0.007103774	0.007103774
fagyádebb	fagyádebbnek	1	1	0	0	0	0	0	0	0	0	0	1	0.964199395	-0.035800605	0.992896226	-0.007103774
búkregér	búkregérnak	0	0	1	1	0	1	0	1	0	0	0	0	0.127861566	0.127861566	0.053151136	0.053151136
búkregér	búkregérnek	1	1	0	0	0	0	0	0	0	0	0	1	0.872138434	-0.127861566	0.946848864	-0.053151136
Kamplitt	Kamplittnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Kamplitt	Kamplittnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
zonyungjés	zonyungjésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.708201811	0.708201811	0.790840635	0.790840635
zonyungjés	zonyungjésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.291798189	-0.708201811	0.209159365	-0.790840635
Kázen	Kázennak	1	0	1	1	1	0	0	1	0	0	0	1	0.226765369	-0.773234631	0.137051293	-0.862948707
Kázen	Kázennek	0	1	0	0	0	0	0	0	0	0	0	0	0.773234631	0.773234631	0.862948707	0.862948707
Agés	Agésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.708201811	0.708201811	0.790840635	0.790840635
Agés	Agésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.291798189	-0.708201811	0.209159365	-0.790840635
vaníbb	vaníbbnak	1	0	1	0	0	0	1	0	0	1	0	1	0.420675748	-0.579324252	0.382252125	-0.617747875
vaníbb	vaníbbnek	0	1	0	0	0	0	0	0	0	0	0	0	0.579324252	0.579324252	0.617747875	0.617747875
unyákim	unyákimnak	0	0	1	0	0	0	1	0	0	0	0	0	0.697059284	0.697059284	0.777299861	0.777299861
unyákim	unyákimnek	1	1	0	0	0	0	0	0	0	0	0	1	0.302940716	-0.697059284	0.222700139	-0.777299861
kvószeles	kvószelesnak	0	0	1	1	1	1	0	0	1	0	0	0	0.021739042	0.021739042	0.003301735	0.003301735
kvószeles	kvószelesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.978260958	-0.021739042	0.996698265	-0.003301735
Sáhiszt	Sáhisztnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Sáhiszt	Sáhisztnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
hástir	hástirnak	1	0	1	0	0	0	0	1	0	0	0	1	0.851531878	-0.148468122	0.932137706	-0.067862294
hástir	hástirnek	0	1	0	0	0	0	0	0	0	0	0	0	0.148468122	0.148468122	0.067862294	0.067862294
Klúdé	Klúdénak	0	0	1	1	0	0	0	0	0	0	0	0	0.816578061	0.816578061	0.903784458	0.903784458
Klúdé	Klúdének	1	1	0	0	0	0	0	0	0	0	0	1	0.183421939	-0.816578061	0.096215542	-0.903784458
mosztakspip	mosztakspipnak	0	0	1	0	0	0	1	0	0	0	0	0	0.697059284	0.697059284	0.777299861	0.777299861
